STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,STATISTICAL_OPERATION,Statistical operation,INCOME_GROUP,Income group,HEALTH_PROF,Health profession,TIME_PERIOD,Time period,OBS_VALUE,Observation value,HSPA,Health system performance assessment,METHODOLOGY,Calculation methodology,TIME_RANGE,Time range,SURVEY_VERSION,Survey version,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_MH(2.1),Mental healthcare,I,CAN,Canada,A,Annual,MORTSUMS,Suicide within 30 days after discharge among patients diagnosed with a mental disorder,PT_PAT_DSC_D_MD,Percentage of discharged patients diagnosed with a mental disorder,Y_GE15,15 years or over,_T,Total,OBS,Observed,_Z,Not applicable,_Z,Not applicable,2016,,0.9,,,,AGE_SEX_STANDARD,Age and sex standardised rate,,,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_MH(2.1),Mental healthcare,I,CAN,Canada,A,Annual,MORTSUMS,Suicide within 30 days after discharge among patients diagnosed with a mental disorder,PT_PAT_DSC_D_MD,Percentage of discharged patients diagnosed with a mental disorder,Y_GE15,15 years or over,_T,Total,OBS,Observed,_Z,Not applicable,_Z,Not applicable,2017,,0.8,,,,AGE_SEX_STANDARD,Age and sex standardised rate,,,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_MH(2.1),Mental healthcare,I,CAN,Canada,A,Annual,MORTSUMS,Suicide within 30 days after discharge among patients diagnosed with a mental disorder,PT_PAT_DSC_D_MD,Percentage of discharged patients diagnosed with a mental disorder,Y_GE15,15 years or over,_T,Total,OBS,Observed,_Z,Not applicable,_Z,Not applicable,2018,,0.9,,,,AGE_SEX_STANDARD,Age and sex standardised rate,,,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_MH(2.1),Mental healthcare,I,CAN,Canada,A,Annual,MORTSUMS,Suicide within 30 days after discharge among patients diagnosed with a mental disorder,PT_PAT_DSC_D_MD,Percentage of discharged patients diagnosed with a mental disorder,Y_GE15,15 years or over,_T,Total,OBS,Observed,_Z,Not applicable,_Z,Not applicable,2019,,0.8,,,,AGE_SEX_STANDARD,Age and sex standardised rate,,,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_MH(2.1),Mental healthcare,I,CAN,Canada,A,Annual,MORTSUMS,Suicide within 30 days after discharge among patients diagnosed with a mental disorder,PT_PAT_DSC_D_MD,Percentage of discharged patients diagnosed with a mental disorder,Y_GE15,15 years or over,_T,Total,OBS,Observed,_Z,Not applicable,_Z,Not applicable,2020,,1,,,,AGE_SEX_STANDARD,Age and sex standardised rate,,,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_MH(2.1),Mental healthcare,I,CAN,Canada,A,Annual,MORTSUMS,Suicide within 30 days after discharge among patients diagnosed with a mental disorder,PT_PAT_DSC_D_MD,Percentage of discharged patients diagnosed with a mental disorder,Y_GE15,15 years or over,_T,Total,OBS,Observed,_Z,Not applicable,_Z,Not applicable,2021,,0.7,,,,AGE_SEX_STANDARD,Age and sex standardised rate,,,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_MH(2.1),Mental healthcare,I,CHL,Chile,A,Annual,MORTSUMS,Suicide within 30 days after discharge among patients diagnosed with a mental disorder,PT_PAT_DSC_D_MD,Percentage of discharged patients diagnosed with a mental disorder,Y_GE15,15 years or over,_T,Total,OBS,Observed,_Z,Not applicable,_Z,Not applicable,2008,,1,,,,AGE_SEX_STANDARD,Age and sex standardised rate,,,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_MH(2.1),Mental healthcare,I,CHL,Chile,A,Annual,MORTSUMS,Suicide within 30 days after discharge among patients diagnosed with a mental disorder,PT_PAT_DSC_D_MD,Percentage of discharged patients diagnosed with a mental disorder,Y_GE15,15 years or over,_T,Total,OBS,Observed,_Z,Not applicable,_Z,Not applicable,2009,,1,,,,AGE_SEX_STANDARD,Age and sex standardised rate,,,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_MH(2.1),Mental healthcare,I,CHL,Chile,A,Annual,MORTSUMS,Suicide within 30 days after discharge among patients diagnosed with a mental disorder,PT_PAT_DSC_D_MD,Percentage of discharged patients diagnosed with a mental disorder,Y_GE15,15 years or over,_T,Total,OBS,Observed,_Z,Not applicable,_Z,Not applicable,2010,,0.8,,,,AGE_SEX_STANDARD,Age and sex standardised rate,,,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_MH(2.1),Mental healthcare,I,CHL,Chile,A,Annual,MORTSUMS,Suicide within 30 days after discharge among patients diagnosed with a mental disorder,PT_PAT_DSC_D_MD,Percentage of discharged patients diagnosed with a mental disorder,Y_GE15,15 years or over,_T,Total,OBS,Observed,_Z,Not applicable,_Z,Not applicable,2011,,0.7,,,,AGE_SEX_STANDARD,Age and sex standardised rate,,,,,1,One,,,,,,,0,Units
